
set I:= 1	2	3	4	5	6	7	8	9	10	;

set J:= 1	2	3	4	5	;

set W:= 1	2	3	4	;

param PI:=
1	0.036245
2	0.020933
3	0.138883
4	0.803938
;

param F:=
1	150
2	61
3	101
4	91
5	103
;


param D: 1	2	3	4:=
1	111	97	191	146	
2	154	131	207	145	
3	112	133	117	169	
4	170	236	197	126	
5	143	170	180	180	
6	181	130	143	110	
7	143	206	170	127	
8	159	157	129	183	
9	179	184	175	210	
10	69	172	190	211	
;


param C
[*,*,1]: 1	2	3	4	5:=
1	120	150	61	299	102	
2	132	228	146	163	168	
3	55	259	296	267	226	
4	189	186	285	234	178	
5	78	95	276	72	156	
6	138	221	224	212	152	
7	69	73	199	190	293	
8	64	108	210	160	138	
9	263	57	91	171	70	
10	154	256	85	155	275	

[*,*,2]: 1	2	3	4	5:=
1	223	82	117	265	112	
2	134	104	186	130	123	
3	152	144	193	114	290	
4	61	296	70	286	213	
5	213	91	284	152	53	
6	275	167	208	173	286	
7	97	176	220	279	280	
8	135	254	99	179	294	
9	263	277	282	64	276	
10	145	52	133	176	103	

[*,*,3]: 1	2	3	4	5:=
1	229	118	199	170	91	
2	96	55	267	261	97	
3	284	247	102	240	211	
4	136	120	73	119	297	
5	147	156	195	148	92	
6	52	236	293	65	198	
7	208	151	54	65	150	
8	157	134	190	212	66	
9	74	170	296	293	215	
10	191	175	189	172	212	

[*,*,4]: 1	2	3	4	5:=
1	155	291	137	156	118	
2	66	205	159	187	240	
3	93	80	142	162	254	
4	78	66	165	222	266	
5	81	143	188	70	106	
6	173	176	156	79	243	
7	209	128	149	84	237	
8	239	176	150	143	257	
9	232	238	69	246	105	
10	278	186	99	242	275	
;

end;

