#############################################################################
# Operations Research for Health Care
# Lesson 11/15
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departmento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Under Uncertainty
# Robust Optimization
# Ref: Correia, I., & Saldanha-da-Gama, F. (2019). 
# Facility location under uncertainty. Location science, 185-213.
# Minmax Data (Medium Instance)
#############################################################################
# glpsol -m ro.mod -d ro.dat --cuts

################################################
# The Minmax P-median
# ###############################################
# The set of all origin.
set I:= 1   2   3   4   5   6   7   8
9   10  11  12     13   14  15;

# The set of all (possible) destination points.
set J:= 1   2   3   4   5   6   7; 

# Finite set of scenarios w in Omega
set W:= 1    2  3   4   5   6   7   8   9   10;     

# Demand at oring i in I and scenario w in W
param D: 1      2       3       4       5       6       7       8       9       10:=
1       70      76      63      37      29      53      57      27      74      35
2       46      42      43      30      67      64      50      63      40      44
3       19      49      49      42      68      62      48      68      51      55
4       10      61      62      14      59      35      54      35      46      42
5       30      47      34      70      33      44      32      59      63      80
6       61      34      80      69      73      28      52      45      46      49
7       49      66      41      39      59      73      37      66      43      31
8       34      65      64      49      49      42      55      39      52      37
9       59      72      71      29      59      56      70      24      53      85
10      41      57      87      27      49      37      50      65      43      38
11      58      78      42      62      29      59      61      33      68      32
12      18      40      52      84      28      72      74      36      70      62
13      62      25      28      38      70      64      33      49      74      39
14      44      60      42      16      49      64      48      52      53      65
15      59      45      52      82      46      49      44      56      56      53
;

# # Distance or travel time from i in J, to j in J, in scen w
param A
[*,*,1]: 1      2       3       4       5       6       7:=
1       113     126     142     142     193     191     130
2       154     126     197     149     103     172     165
3       140     180     121     115     185     119     121
4       135     136     155     168     194     146     182
5       192     105     140     200     125     146     185
6       153     169     146     120     164     157     120
7       146     150     182     168     177     121     108
8       147     179     106     182     139     133     158
9       136     122     196     152     141     181     173
10      142     189     102     121     166     196     111
11      175     128     183     103     166     148     135
12      111     170     148     177     124     159     156
13      189     143     162     161     196     111     123
14      143     140     158     200     183     195     110
15      143     195     161     109     186     134     159

[*,*,2]: 1      2       3       4       5       6       7:=
1       196     170     137     165     140     172     171
2       192     157     185     113     111     118     127
3       149     177     187     178     162     147     182
4       193     176     200     177     179     178     133
5       101     168     198     140     186     195     157
6       115     123     120     192     150     119     112
7       123     144     164     143     112     116     169
8       102     175     159     159     105     105     111
9       131     188     109     106     134     148     148
10      141     127     121     136     166     179     149
11      184     154     179     150     122     146     199
12      142     171     186     139     150     156     135
13      138     123     144     117     158     193     176
14      152     149     200     194     134     200     112
15      126     137     194     135     129     192     140

[*,*,3]: 1      2       3       4       5       6       7:=
1       128     177     167     130     110     139     183
2       145     185     140     184     130     114     155
3       156     138     166     148     178     197     132
4       147     199     173     162     188     153     191
5       196     173     149     144     125     166     150
6       118     134     186     171     184     170     119
7       101     153     153     107     180     177     160
8       159     146     151     176     114     191     107
9       132     169     189     144     181     151     146
10      105     191     133     122     119     152     130
11      139     136     114     107     158     134     196
12      157     162     150     107     104     172     167
13      158     132     199     181     150     152     109
14      196     104     127     199     131     135     172
15      139     198     151     142     112     113     181

[*,*,4]: 1      2       3       4       5       6       7:=
1       150     120     129     115     118     145     145
2       116     198     110     181     176     144     163
3       153     107     158     104     199     149     145
4       196     111     157     138     187     174     154
5       186     151     132     112     186     134     200
6       176     103     143     138     126     165     116
7       153     181     195     140     103     150     121
8       147     122     104     177     200     175     192
9       186     133     158     156     196     138     113
10      127     136     185     171     187     126     117
11      122     103     169     122     111     113     109
12      115     165     121     140     101     196     105
13      162     114     159     187     175     197     106
14      158     137     137     185     155     135     178
15      138     132     187     196     193     118     148

[*,*,5]: 1      2       3       4       5       6       7:=
1       174     159     181     189     118     154     200
2       160     104     171     146     107     101     141
3       121     197     132     114     183     122     192
4       184     119     116     159     107     138     141
5       175     172     114     137     150     133     188
6       161     125     127     116     188     139     173
7       144     195     131     120     151     107     152
8       107     171     175     190     149     126     164
9       146     173     174     154     134     160     159
10      109     167     185     193     143     155     127
11      169     127     137     171     146     189     185
12      166     140     121     183     189     158     169
13      142     103     133     111     198     155     183
14      163     181     194     129     105     177     112
15      177     103     199     154     176     139     124

[*,*,6]: 1      2       3       4       5       6       7:=
1       149     184     107     131     111     105     140
2       135     134     179     163     147     122     160
3       135     197     132     118     128     123     189
4       159     102     108     125     134     113     180
5       192     119     129     186     163     147     177
6       132     149     154     152     179     173     142
7       137     105     180     169     136     163     122
8       155     173     186     149     102     154     104
9       195     122     166     171     185     157     146
10      176     110     121     144     190     149     137
11      142     150     156     148     160     104     176
12      128     123     117     190     164     184     102
13      118     183     106     102     138     192     153
